"broodyear","0.0%","5.0%","10.0%","90.0%","95.0%","100.0%","sample_size"
1993,"January 03 1994","January 11 1994","January 14 1994","March 23 1994","April 05 1994","April 28 1994",2193
1994,"May 01 1994","June 13 1994","October 11 1994","March 08 1995","April 07 1995","April 30 1995",2850
1995,"May 01 1995","August 30 1995","September 27 1995","April 18 1996","April 23 1996","April 30 1996",14904
1996,"May 01 1996","May 03 1996","May 04 1996","December 11 1996","March 03 1997","April 30 1997",3572
1997,"May 01 1997","May 30 1997","June 13 1997","March 25 1998","April 20 1998","April 30 1998",2511
1998,"May 01 1998","September 08 1998","November 03 1998","April 11 1999","April 21 1999","April 30 1999",5392
1999,"May 01 1999","May 12 1999","September 09 1999","February 29 2000","March 18 2000","April 30 2000",7283
2000,"May 01 2000","July 19 2000","October 05 2000","February 22 2001","March 14 2001","April 27 2001",2377
2001,"May 01 2001","May 22 2001","June 04 2001","February 22 2002","March 22 2002","April 30 2002",989
2002,"May 02 2002","June 17 2002","September 17 2002","February 28 2003","March 19 2003","April 30 2003",1088
2003,"May 01 2003","May 21 2003","May 30 2003","March 25 2004","April 25 2004","April 30 2004",523
2004,"May 01 2004","August 09 2004","September 20 2004","March 21 2005","April 19 2005","April 28 2005",884
2005,"May 02 2005","May 11 2005","May 20 2005","March 24 2006","April 03 2006","April 28 2006",973
2006,"May 02 2006","May 09 2006","May 16 2006","February 22 2007","March 15 2007","April 30 2007",656
2007,"May 01 2007","May 22 2007","August 09 2007","March 03 2008","March 24 2008","April 29 2008",159
2008,"May 30 2008","June 23 2008","July 07 2008","March 11 2009","March 30 2009","April 30 2009",173
2009,"May 06 2009","July 06 2009","July 20 2009","March 02 2010","March 15 2010","April 26 2010",406
2010,"May 07 2010","July 02 2010","July 16 2010","March 17 2011","March 28 2011","April 28 2011",505
2011,"May 02 2011","August 12 2011","August 31 2011","March 30 2012","April 16 2012","April 30 2012",1258
2012,"May 04 2012","May 21 2012","June 20 2012","February 15 2013","March 08 2013","April 24 2013",595
2013,"May 08 2013","July 01 2013","July 15 2013","March 12 2014","March 21 2014","April 15 2014",343
2014,"May 02 2014","June 09 2014","July 01 2014","February 03 2015","February 17 2015","April 06 2015",56
2015,"July 01 2015","July 01 2015","July 06 2015","December 16 2015","January 26 2016","March 25 2016",47
2016,"May 23 2016","November 07 2016","December 15 2016","March 07 2017","March 16 2017","April 24 2017",234
2017,"May 31 2017","June 26 2017","July 12 2017","January 22 2018","February 26 2018","March 22 2018",107
2018,"July 09 2018","August 21 2018","September 17 2018","January 31 2019","February 12 2019","March 03 2019",71
2019,"July 15 2019","August 06 2019","August 16 2019","February 18 2020","March 05 2020","March 16 2020",26
2020,"August 06 2020","August 06 2020","August 06 2020","November 09 2020","November 09 2020","November 09 2020",3
